Year,Country,Sector,Financing ,Name,Amount
2024,Maldives ,Other ,Sovereign ,Maldives: Strengthening Fiscal Management and Sustainability Program ,Approved Financing: USD15 million 
,,,,,
2024,Türkiye ,Energy ,Nonsovereign ,Türkiye: İçtaş Enerji YEKA Erzin-II Hatay 100MW Solar PV Project ,Approved Financing: USD32.5 million 
,,,,,
2024,Türkiye ,Transport ,Sovereign ,Türkiye: Türkiye Emergency Road Rehabilitation and Reconstruction Project ,Approved Financing: USD200 million 
,,,,,
2024,China ,Education Infrastructure ,Nonsovereign ,China: Yantai Higher Vocational School Project ,Approved Financing: USD95 million 
,,,,,
2024,India ,Transport ,Sovereign ,India: Kochi Metro Rail Project - Phase II ,Approved Financing: USD122.32 million 
,,,,,
2024,Viet Nam ,Multi-sector ,Nonsovereign ,Viet Nam: Supporting infrastructure development and climate financing in Viet Nam with second facility with VPBank ,Approved Financing: USD150 million 
,,,,,
2024,Tajikistan ,Transport ,Sovereign ,Tajikistan: Obigarm- Nurobod Road Project – Long Bridge and Approaches ,Approved Financing: USD75.5 million 
,,,,,
2024,Bangladesh ,Energy ,Sovereign ,Bangladesh: Southern Chattogram and Kaliakoir Transmission Infrastructure Development Project ,Approved Financing: USD160 million 
,,,,,
2024,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: Patria Infrastructure Fund V ,Approved Financing: USD100 million 
,,,,,
2024,Singapore ,Multi-sector ,Nonsovereign ,Singapore: Project Merlion ,Approved Financing: USD350 million 
,,,,,
2024,Bangladesh ,Other ,Sovereign ,Bangladesh: Climate Resilient Inclusive Development Program (Subprogram 1) ,Approved Financing: USD400 million 
,,,,,
2024,Hungary ,Energy ,Nonsovereign ,Hungary: OTP Green Energy Capacity Expansion Bond Investment ,Approved Financing: USD200 million 
,,,,,
2024,Kazakhstan ,Health Infrastructure ,Nonsovereign ,Kazakhstan: Kokshetau PPP Hospital Project ,Approved Financing: USD113.90 million 
,,,,,
2024,Viet Nam ,Multi-sector ,Nonsovereign ,Viet Nam: Supporting green and blue infrastructure development and capital market in Viet Nam ,Approved Financing: USD75 million 
,,,,,
2024,China ,Multi-sector ,Nonsovereign ,China: JC Leasing Green and Blue Loan ,Approved Financing: USD100 million 
,,,,,
2024,Uzbekistan ,Multi-sector ,Nonsovereign ,Uzbekistan: Asakabank Energy Efficiency and Renewables Facility ,Approved Financing: USD30 million 
,,,,,
2024,Thailand ,Energy ,Nonsovereign ,Thailand: GULF Renewable Power Project ,Approved Financing: USD170 million 
,,,,,
2024,Philippines ,Transport ,Sovereign ,Philippines: Bataan-Cavite Interlink Bridge Project and Tranche 1 ,Approved Financing: USD350 million 
,,,,,
2024,India ,Multi-sector ,Nonsovereign ,India: NIIF PMF II ,Approved Financing: USD125 million 
,,,,,
2024,India ,Energy ,Nonsovereign ,India: ENGIE Solar Power Project ,Approved Financing: USD88.5 million 
,,,,,
2024,Rwanda ,Energy ,Sovereign ,Rwanda: Accelerating Sustainable and Clean Energy Transformation (ASCENT) Rwanda ,Approved Financing: USD100 million 
,,,,,
2024,Türkiye ,Other ,Nonsovereign ,Türkiye: Smart Solar Manufacturing Project ,Approved Financing: USD30 million 
,,,,,
2024,Türkiye ,Transport ,Nonsovereign ,Türkiye: Antalya Airport Expansion Project (Upsize Facility) ,Approved Financing: EUR75 million 
,,,,,
2024,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: Actis Asia Climate Transition Fund ,Approved Financing: USD100 million 
,,,,,
2024,Türkiye ,Energy ,Nonsovereign ,Türkiye: Uludağ Electricity Distribution Network Upgrade and Modernization Project ,Approved Financing: USD28 million 
,,,,,
2024,Bangladesh ,Urban ,Sovereign ,Bangladesh: Bangladesh Integrated Solid Waste Management Improvement Project ,Approved Financing: USD200 million 
,,,,,
2023,China ,Multi-sector ,Nonsovereign ,China: GL Capital China Opportunities Fund IV ,Approved Financing: USD25 million 
,,,,,
2023,Türkiye ,Urban ,Sovereign ,Türkiye: Istanbul Seismic Mitigation and Emergency Preparedness Additional Financing Project ,Approved Financing: EUR150 million 
,,,,,
2023,India ,Transport ,Sovereign ,India: Chennai Peripheral Ring Road (Sections 2 and 3) ,Approved Financing: USD378 million 
,,,,,
2023,India ,Energy ,Nonsovereign ,India: Project Meridian ,Approved Financing: USD73 million 
,,,,,
2023,Pakistan ,CRF-Economic Resilience/PBF ,Sovereign ,Pakistan: Second Resilient Institutions for Sustainable Economy (RISE-II) Development Policy Financing ,Approved Financing: USD250 million 
,,,,,
2023,Indonesia ,Health Infrastructure ,Sovereign ,Indonesia: Modernization of the Health System ,Approved Financing: USD999 million 
,,,,,
2023,Philippines ,CRF-Economic Resilience/PBF ,Sovereign ,Philippines: Build Universal Health Care Program (Subprogram 2) ,Approved Financing: USD450 million 
,,,,,
2023,Uzbekistan ,Economic Resilience / PBF ,Sovereign ,Uzbekistan: First Inclusive and Resilient Market Economy Development Policy Operation ,Approved Financing: USD670 million 
,,,,,
2023,Egypt ,Transport ,Nonsovereign ,Egypt: Damietta Port - Container Terminal II ,Approved Financing: USD100 million 
,,,,,
2023,Kazakhstan ,CRF-Economic Resilience/PBF ,Sovereign ,Kazakhstan: Fiscal Governance and Financial Sector Reforms Program ,Approved Financing: USD350 million 
,,,,,
2023,Indonesia ,CRF-Economic Resilience/PBF ,Sovereign ,Indonesia: Boosting Productivity through Human Capital Development Program- ,Approved Financing: USD500 
,,,,,
2023,Türkiye ,Multi-sector ,Sovereign ,Türkiye: Turk Eximbank Earthquake Response Project (Component B of the previously Türkiye: Turk Eximbank Green Infrastructure Support and Earthquake Response Project) ,Approved Financing: USD100 million 
,,,,,
2023,Indonesia ,Economic Resilience / PBF ,Sovereign ,"Indonesia: Competitiveness, Industrial Modernization, and Trade Acceleration Program (CITA) – Subprogram 2 ",Approved Financing: USD500 million 
,,,,,
2023,Philippines ,CRF-Economic Resilience/PBF ,Sovereign ,Philippines: Domestic Resource Mobilization Program (Subprogram 1) ,Approved Financing: USD400 million 
,,,,,
2023,Türkiye ,Multi-sector ,Sovereign ,Türkiye: Turk Eximbank Green Infrastructure Support Project (Component A of the previously Türkiye: Turk Eximbank Green Infrastructure Support and Earthquake Response Project) ,Approved Financing: USD200 million 
,,,,,
2023,Philippines ,CRF-Economic Resilience/PBF ,Sovereign ,Philippines: First Digital Transformation Development Policy Financing ,Approved Financing: USD400 million 
,,,,,
2023,Philippines ,CRF-Economic Resilience/PBF ,Sovereign ,Philippines: Philippines – Inclusive Finance Development Program (Subprogram 3) ,Approved Financing: USD300 million 
,,,,,
2023,Egypt ,Multi-sector ,Sovereign ,Egypt: Egypt Sustainable Transport and Digital Infrastructure Guarantee ,Approved Financing: USD200 million 
,,,,,
2023,Kazakhstan ,Energy ,Nonsovereign ,Kazakhstan: Shokpar 100MW Wind Power Project ,Approved Financing: USD40 million 
,,,,,
2023,India ,Transport ,Sovereign ,India: Mumbai Urban Transport Project 3A – Station Improvement ,Approved Financing: USD100 million 
,,,,,
2023,Argentina ,Energy ,Sovereign ,Argentina: Tierra del Fuego Energy Transition ,USD65 million 
,,,,,
2023,Singapore ,Multi-sector ,Nonsovereign ,Singapore: BIC IV ,Approved Financing: USD80 million 
,,,,,
2023,Jordan ,CRF-Economic Resilience/PBF ,Sovereign ,"Jordan: Additional Financing for Inclusive, Transparent and Climate Responsive Investments Program ",Approved Financing: USD200 million 
,,,,,
2023,Cambodia ,Health Infrastructure ,Sovereign ,Cambodia: Cross-border Livestock Health and Value-chain Infrastructure Improvement Project ,Approved Financing: USD33 million 
,,,,,
2023,Brazil ,Energy ,Nonsovereign ,Brazil: Vinci Climate Change Fund ,Approved Financing: USD50 million 
,,,,,
2023,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: A.P. Moller Capital Emerging Market Infrastructure Fund II ,Approved Financing: 
,,,,,
2023,China ,Transport ,Sovereign ,China: Yunnan Kunming Changshui Airport Expansion and Green Development Project ,Approved Financing: USD500 million 
,,,,,
2023,Georgia ,Energy ,Nonsovereign ,Georgia: Georgia Capital Sustainability Linked Financing Facility ,Approved Financing: USD30 million 
,,,,,
2023,Bangladesh ,Transport ,Nonsovereign ,Bangladesh: Rampura- Amulia-Demra (RAD) Expressway Project ,Approved Financing: USD75 million 
,,,,,
2023,Brazil ,Energy ,Nonsovereign ,Brazil: BTG Green On- Lending ,Approved Financing: USD200 million 
,,,,,
2023,Multicountry ,Digital Infrastructure and Technology ,Nonsovereign ,Multicountry: DigitalBridge Emerging Market Digital Infrastructure Fund ,Approved Financing: 
,,,,,
2023,Multicountry ,Multi-sector ,Sovereign ,Multicountry: Guarantee Facility of International Bank for Reconstruction and Development Loans ,"Approved Financing: USD1,000 million "
,,,,,
2023,Côte d'Ivoire ,Transport ,Sovereign ,Côte d’Ivoire: Inclusive Connectivity and Rural Infrastructure Project ,Approved Financing: USD200 million 
,,,,,
2023,Romania ,Energy ,Nonsovereign ,Romania: Banca Transilvania Green Mortgages Bond Investment ,Approved Financing: EUR100 million 
,,,,,
2023,Uzbekistan ,Energy ,Nonsovereign ,"Uzbekistan: Surkhandarya 1,560MW CCGT Power Plant ",Approved Financing: EUR225 million 
,,,,,
2023,Bangladesh ,CRF-Economic Resilience/PBF ,Sovereign ,Bangladesh: Bangladesh Sustainable Economic Recovery Program (Subprogram 2) ,Approved Financing: USD400 million 
,,,,,
2023,"Hong Kong, China ",Multi-sector ,Nonsovereign ,"Hong Kong, China: Project Ocean ",Approved Financing: USD300 million 
,,,,,
2023,Singapore ,Transport ,Nonsovereign ,Singapore: Regional Transport Connectivity Project ,Approved Financing: USD70 million 
,,,,,
2023,India ,Multi-sector ,Nonsovereign ,India: LOK Capital Fund 4 ,Approved Financing: USD30 million 
,,,,,
2023,Uzbekistan ,Multi-sector ,Nonsovereign ,"Uzbekistan: UzPSB Energy and Water Efficiency, and Renewables Bond Investment ",Approved Financing: USD25 million 
,,,,,
2023,Multicountry ,Health Infrastructure ,Nonsovereign ,Multicountry: Quadria Capital Fund III ,Approved Financing: USD50 million 
,,,,,
2023,India ,Transport ,Sovereign ,India: Chennai Metro Rail Phase 2 Project – Balance Corridor 5 ,Approved Financing: USD438.75 million 
,,,,,
2023,Türkiye ,Energy ,Nonsovereign ,Türkiye: Akbank Sustainable Energy Facility ,Approved Financing: USD75 million 
,,,,,
2023,Uzbekistan ,Energy ,Nonsovereign ,"Uzbekistan: Masdar 897MW Solar PV Portfolio (Samarkand, Jizzakh and Sherabad solar PV plants) ",Approved Financing: USD145 million 
,,,,,
2023,China ,Energy ,Nonsovereign ,China: Chongho Bridge Green Facility ,Approved Financing: USD50 million 
,,,,,
2023,Philippines ,CRF-Economic Resilience/PBF ,Sovereign ,Philippines: Post-Covid- 19 Business and Employment Recovery Program - Subprogram 1 ,Approved Financing: USD500 million 
,,,,,
2023,India ,Transport ,Nonsovereign ,India: Sustainable Transport Financing ,Approved Financing: USD100 million 
,,,,,
2023,Türkiye ,Transport ,Nonsovereign ,Türkiye: Antalya Airport Expansion Project ,Approved Financing: USD150 million 
,,,,,
2022,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: AIIB Venture Capital (“VC”) Investment Program for Green and Technology- Enabled Infrastructure (the “VC Program”) ,Approved Financing: USD130 million 
,,,,,
2022,Egypt ,Transport ,Sovereign ,Egypt: Alexandria – Abou Qir Metro Line ,Approved Financing: EUR250 million 
,,,,,
2022,India ,Transport ,Sovereign ,India: Haryana Orbital Rail Corridor (HORC) Part A Project ,Approved Financing: USD128 million 
,,,,,
2022,China ,Transport ,Nonsovereign ,China: Lionbridge Leasing EV Transport Green Transition Facility ,Approved Financing: USD60 million 
,,,,,
2022,Uzbekistan ,CRF-Economic Resilience/PBF ,Sovereign ,Uzbekistan: Advancing Uzbekistan Economic and Social Transformation Development Policy Operation ,Approved Financing: USD530 million 
,,,,,
2022,Bangladesh ,Energy ,Nonsovereign ,Bangladesh: Unique Meghnaghat IPP ,Approved Financing: USD110 million 
,,,,,
2022,Bangladesh ,CRF-Economic Resilience/PBF ,Sovereign ,Bangladesh: Strengthening Social Resilience Program (Subprogram 2) ,Approved Financing: USD250 million 
,,,,,
2022,Türkiye ,Multi-sector ,Sovereign ,"Türkiye: TSKB Sustainable Energy and Infrastructure On-lending Facility, Phase 2 ",Approved Financing: USD200 million 
,,,,,
2022,Pakistan ,CRF-Economic Resilience/PBF ,Sovereign ,Pakistan: Building Resilience with Countercyclical Expenditures (BRACE) Program ,Approved Financing: USD500 million 
,,,,,
2022,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: Rakiza Fund I ,Approved Financing: USD50 million 
,,,,,
2022,Lao PDR ,Energy ,Nonsovereign ,Lao PDR: Monsoon 600 MW Cross-border Wind Power Project ,Approved Financing: USD150 million 
,,,,,
2022,Multicountry ,Multi-sector ,Nonsovereign ,Multicountry: Southeast Asia Women’s Economic Empowerment Fund ,Approved Financing: USD10 million 
,,,,,
2022,India ,Transport ,Nonsovereign ,India: GreenCell Electric Bus Financing Project ,Approved Financing: USD20.5 million 
,,,,,
2022,Mongolia ,CRF-Economic Resilience/PBF ,Sovereign ,Mongolia: Weathering Exogenous Shocks Program ,Approved Financing: USD100 million 
,,,,,
2022,India ,Multi-sector ,Nonsovereign ,India: Kotak Infrastructure Investment Fund ,Approved Financing: USD100 million 
,,,,,
2022,Türkiye ,Energy ,Nonsovereign ,Türkiye: Aklease Multisector Facility ,Approved Financing: USD50 million 
,,,,,
2022,Singapore ,Multi-sector ,Nonsovereign ,Singapore: Asia Infrastructure Securitization Program II ,Approved Financing: USD80 million 
,,,,,
2022,China ,Multi-sector ,Nonsovereign ,China: Haier Social Infrastructure Leasing ,Approved Financing: USD100 million 
,,,,,
2022,Fiji ,CRF-Economic Resilience/PBF ,Sovereign ,Fiji: Sustainable and Resilient Recovery Program for Fiji ,Approved Financing: USD50 million 
,,,,,
2022,Multicountry ,Energy ,Nonsovereign ,Multicountry: Alcazar Energy Partners II (“AEP- II”) ,Approved Financing: USD50 million 
,,,,,
2022,Multicountry ,Other ,Nonsovereign ,Multicountry: CITIC Capital Pan Eurasia Fund - Co-Investment Superfreeze Cold Storage Logistics (Multicountry) ,Approved Financing: USD15 million 
,,,,,
2022,Multicountry ,Other ,Nonsovereign ,Multicountry: CITIC Capital Pan Eurasia Fund - Co-Investment Project Spark (China) ,Approved Financing: USD5 million 
,,,,,
2022,Türkiye ,CRF-Public Health ,Sovereign ,Türkiye: COVID-19 Vaccine Project under the COVID-19 Crisis Recovery Facility ,Approved Financing: USD250 million 
,,,,,
2022,India ,Transport ,Sovereign ,India: Assam Secondary Road Network Improvement Project ,Approved Financing: USD320 million 
,,,,,
2022,India ,Energy ,Nonsovereign ,Solar IPP Equity Investment ,Approved Financing: USD50 million 
,,,,,
2022,Côte d'Ivoire ,CRF-Public Health ,Sovereign ,Côte d’Ivoire: Strengthening of Vaccination and Health Systems under the COVID-19 Strategic Preparedness and Response Project ,Approved Financing: USD100 million 
,,,,,
2022,Cambodia ,CRF- Finance/Liquidity ,Nonsovereign ,Cambodia: Emergency and Crisis Response Facility ,Approved Financing: USD100 million 
,,,,,
2022,Uzbekistan ,Water ,Sovereign ,Uzbekistan: Bukhara Region Water Supply and Sewerage Phase II (BRWSSP II) ,Approved Financing: USD248.4 million 
,,,,,
2022,Cambodia ,CRF- Finance/Liquidity ,Nonsovereign ,Cambodia: Cambodia PRASAC COVID-19 Response Facility ,Approved Financing: USD75 million 
,,,,,
2022,Indonesia ,Energy ,Sovereign ,Indonesia: Development of Pumped Storage Hydropower in Java Bali System (the Project) ,Approved Financing: USD230 million 
,,,,,
2022,China ,Transport ,Nonsovereign ,China: GLP China Logistics Fund III ,Approved Financing: USD125 million 
,,,,,
2022,Bangladesh ,Multi-sector ,Sovereign ,Bangladesh: IDCOL Multi-Sector On-Lending Facility ,Approved Financing: USD200 million 
,,,,,
2022,India ,Water ,Sovereign ,India: Second Dam Rehabilitation and Improvement Project ,Approved Financing: USD250 million 
,,,,,
2022,Cambodia ,CRF-Public ,Sovereign ,Cambodia: Rapid Immunization Support ,Approved Financing: USD50 million 
,,,,,
2022,India ,Energy ,Sovereign ,India: Assam Electricity Distribution System Enhancement Project ,Approved Financing: USD386 million 
,,,,,
2022,Uzbekistan ,Transport ,Sovereign ,Uzbekistan: Bukhara- Miskin-Urgench-Khiva Railway Electrification Project ,Approved Financing: USD108 million 
,,,,,
2022,China ,Transport ,Sovereign ,China: Zhengzhou International Logistics Hub (Previously: Zhengzhou International Hub Expansion) ,Approved Financing: USD150 million 
,,,,,
2022,India ,Energy ,Sovereign ,India: West Bengal Electricity Distribution Grid Modernization Project ,Approved Financing: USD135 million 
,,,,,
2022,China ,Multi-sector ,Nonsovereign ,China: China EXIM Bank Green On-lending Facility ,Approved Financing: USD200 million 
,,,,,
2022,Brazil ,Multi-sector ,Nonsovereign ,Brazil: BDMG Renewables and Asia Connectivity Facility ,Approved Financing: USD100 million 
,,,,,
2022,China ,Multi-sector ,Nonsovereign ,China: NIO Capital Eve ONE Fund II ,Approved Financing: USD50 million 
,,,,,
2022,India ,CRF-Public Health ,Sovereign ,India: Responsive COVID-19 Vaccines for Recovery Project ,Approved Financing: USD500 million 
,,,,,
2022,Ecuador ,CRF- Finance/Liquidity ,Sovereign ,Ecuador: CONAFIPS COVID-19 Credit Line Project (Previously: Corporación Financiera Nacional COVID-19 Credit Line Project) ,Approved Financing: USD50 million 
,,,,,
2021,Türkiye ,Transport ,Sovereign ,Türkiye: Ispartakule- Cerkezkoy Rail Project (Previously: Halkali- Cerkezkoy Rail Project) ,Approved Financing: EUR300 million 
,,,,,
2021,Pakistan ,Urban ,Sovereign ,Pakistan: Khyber Pakhtunkhwa Cities Improvement Project ,Approved Financing: USD200 million 
,,,,,
2021,Multicountry ,Digital Infrastructure and Technology ,Nonsovereign ,Multicountry: Data Center Development in Emerging Asia ,Approved Financing: USD150 million 
,,,,,
2021,Bangladesh ,Transport ,Sovereign ,Bangladesh: Mymensingh Kewatkhali Bridge Project ,Approved Financing: USD260 million 
,,,,,
2021,Hungary ,CRF-Public Health ,Sovereign ,Hungary: Emergency Assistance for Healthcare Expenditures ,Approved Financing: USD216.1 million 
,,,,,
2021,Rwanda ,CRF-Economic Resilience/PBF ,Sovereign ,"Rwanda: Rwanda Digital Acceleration Project (Digital Investment for Recovery, Resilience and Connectivity) ",Approved Financing: USD100 million 
,,,,,
2021,India ,Education Infrastructure ,Sovereign ,India: Gujarat Education Infrastructure and Technology Modernization Program ,Approved Financing: USD250 million 
,,,,,
2021,Türkiye ,Energy ,Nonsovereign ,Türkiye: Osmangazi Electricity Distribution Network Modernization and Expansion Project ,Approved Financing: USD85 million 
,,,,,
2021,China ,Water ,Sovereign ,China: Henan Flood Emergency Rehabilitation and Recovery Project ,"Approved Financing: USD1,000 million "
,,,,,
2021,Egypt ,CRF-Economic Resilience/PBF ,Sovereign ,Egypt: Inclusive Growth for Sustainable Recovery DPF Program ,Approved Financing: USD360 million 
,,,,,
2021,India ,Urban ,Sovereign ,India: Chennai City Partnership: Sustainable Urban Services Program ,Approved Financing: USD150 million 
,,,,,
2021,Viet Nam ,Energy ,Nonsovereign ,Viet Nam: Dakdrinh 125MW Hydropower Plant ,Approved Financing: USD47.5 million 
,,,,,
2021,China ,Transport ,Sovereign ,China: Liaoning Green Smart Public Transport Demonstration Project ,Approved Financing: USD150 million 
,,,,,
